PIP region,year,"Prosperity Gap, z=28/day","Prosperity Gap regional contribution to global, z=28/day","Inequality, z=ybar","Mean, $/day 2021 PPPs"
MEA,2007,5.62413466241193,.4867757558822632,2.470069408416748,12.2973478646014
EAS,2007,6.629665429813976,2.130152940750122,2.721643447875977,11.49470025204931
SAS,2007,8.679203727965136,1.784807682037354,1.284692049026489,4.144548016011552
SSF,2007,13.7768428445392,1.682280659675598,2.188388586044312,4.447672248912371
WLD,2007,6.891508222294103,6.891508102416992,4.00576639175415,16.27531327111005
AFW,2008,11.70943037657605,.5907179713249207,1.727068781852722,4.129827345137521
AFE,2008,14.23073657394738,1.046017527580261,2.462322235107422,4.844796267333478
NAC,2008,1.237815615185607,.0611439570784569,3.337742805480957,75.50138741140019
MEA,2008,5.420328693003751,.4743812382221222,2.451512098312378,12.66387035820441
EAS,2008,6.436647905696795,2.057567596435547,2.703124046325684,11.75883347407316
WLD,2008,6.693659132322969,6.69365930557251,3.931350469589233,16.4450878952865
SSF,2008,13.20457459395016,1.636735439300537,2.147538661956787,4.553806650284189
ECS,2008,2.36989139628647,.306787520647049,3.229643583297729,38.15787560583337
SAS,2008,8.561111486974863,1.762287139892578,1.283557653427124,4.198007960563376
LCN,2008,4.69011316482437,.3947561085224152,2.945654630661011,17.58557358852335
WLD,2009,6.54961632436757,6.54961633682251,3.855657815933228,16.48316735806364
SSF,2009,13.10298016811514,1.648810267448425,2.137943267822266,4.568610387317953
MEA,2009,5.415336707520442,.479265421628952,2.350666761398315,12.15412284587358
NAC,2009,1.096469778005413,.053973101079464,2.994162321090698,76.46042226622878
SAS,2009,8.364684151963147,1.723793506622314,1.281728386878967,4.290466311538271
AFE,2009,14.21032272079291,1.060143351554871,2.451336622238159,4.830110354502804
LCN,2009,4.582710606871626,.3852091729640961,2.877506256103516,17.5813357549724
ECS,2009,2.372365780403701,.3044920861721039,3.22033166885376,38.00817339847149
EAS,2009,6.145795513195781,1.954072713851929,2.642968654632568,12.04126017129814
AFW,2009,11.49044312260393,.5886670351028442,1.718563318252563,4.187808273766153
NAC,2010,1.237026073408175,.0606824420392513,3.3016676902771,74.73302204188484
AFE,2010,13.6718651594639,1.035570383071899,2.417973279953003,4.952012740953989
MEA,2010,5.213853960098195,.4653108716011047,2.234093427658081,11.99776935665241
SSF,2010,12.54621022210456,1.603235006332397,2.107528448104858,4.703475846629158
EAS,2010,5.74160690292065,1.816163063049316,2.625076055526733,12.80166474094511
AFW,2010,10.90786603370555,.5676645636558533,1.691397309303284,4.341740679922529
ECS,2010,2.347215502091951,.2987097203731537,3.189872980117798,38.05208603365413
LCN,2010,4.339795994699173,.3643234968185425,2.814234733581543,18.15720609298269
WLD,2010,6.257402367739319,6.257402420043945,3.728007316589355,16.6817150476657
SAS,2010,7.989756298718338,1.648977875709534,1.282600522041321,4.494857316565788
NAC,2011,1.214210109811103,.0593204349279404,3.278606653213501,75.60551909304301
AFW,2011,10.63643816949463,.5624897480010986,1.669891953468323,4.395924000939405
AFE,2011,13.44896343845988,1.033728957176208,2.407737970352173,5.012777437781913
MEA,2011,5.166794291671298,.4658958613872528,2.245639562606812,12.16961693013273
EAS,2011,5.334579631726715,1.679176092147827,2.522317886352539,13.23907521288762
WLD,2011,6.026407239093211,6.026407241821289,3.64169979095459,16.92013052276164
LCN,2011,4.156108968917563,.3483911156654358,2.800951480865479,18.8702075207137
SAS,2011,7.682867185312197,1.58746862411499,1.28966748714447,4.700157906822647
SSF,2011,12.30260726082775,1.596218705177307,2.09203839302063,4.76135436406916
ECS,2011,2.301000096812106,.2899365723133087,3.124639987945557,38.0225626789244
EAS,2012,5.019451978506979,1.572969913482666,2.490836143493652,13.89462631092531
WLD,2012,5.822129862469609,5.822129726409912,3.57076096534729,17.17263408357571
AFW,2012,10.36889803533456,.5567479133605957,1.675228834152222,4.52376006449603
MEA,2012,5.067878079767526,.4612964391708374,2.205384254455566,12.18473659137496
ECS,2012,2.266858555238496,.2831782698631287,3.072061538696289,37.94578302043853
AFE,2012,12.99097487620106,1.012945652008057,2.339933395385742,5.043357692366682
SSF,2012,11.92168789881324,1.569693446159363,2.057114839553833,4.831464978810625
LCN,2012,3.988333245303676,.3336612582206726,2.786319971084595,19.56129477185778
NAC,2012,1.226656227804735,.0596694089472294,3.326951265335083,75.94192490923945
SAS,2012,7.458077737732848,1.541661143302917,1.29158079624176,4.849005731376712
AFW,2013,10.19463456378393,.5556564331054688,1.692803382873535,4.649356811542773
EAS,2013,4.380210855248724,1.366679549217224,2.29756498336792,14.68692238346342
LCN,2013,3.809170069665519,.3180524706840515,2.727068185806274,20.04581265787092
ECS,2013,1.756755441174433,.217597097158432,2.40944766998291,38.40291935085245
AFE,2013,12.75806078392678,1.009978055953979,2.306874752044678,5.062877156881979
WLD,2013,5.483602598063481,5.483602523803711,3.423814535140991,17.48244951025659
MEA,2013,5.018820461183839,.4610370993614197,2.18957781791687,12.21565534782476
SAS,2013,7.237913412979687,1.495863437652588,1.287666916847229,4.981362928488541
SSF,2013,11.71279737664226,1.565634489059448,2.047338485717773,4.894259982822397
NAC,2013,1.212920071958717,.058738362044096,3.277148008346558,75.65226213959288
EAS,2014,4.137735136392928,1.285279750823975,2.26876974105835,15.35273477120186
AFE,2014,12.69600414427657,1.020228147506714,2.300187110900879,5.072874715052833
MEA,2014,5.004305701220659,.4632076323032379,2.216373682022095,12.40101368326923
NAC,2014,1.337703021425078,.0645288601517677,3.636546850204468,76.11802576366176
LCN,2014,3.741779735191208,.3118153810501099,2.676202774047852,20.02621353412808
ECS,2014,1.777215689953379,.2183829098939896,2.457028388977051,38.71043816266002
WLD,2014,5.362275786156087,5.36227560043335,3.39903450012207,17.74861511948641
SAS,2014,6.983788700369556,1.443292379379272,1.283836960792542,5.147268621856224
SSF,2014,11.61217145373076,1.575769066810608,2.049739599227905,4.942461085683485
AFW,2014,10.03840234649108,.5555409789085388,1.704052925109863,4.753095196598587
MEA,2015,4.992373490495459,.4657284319400787,2.258004665374756,12.66414215864756
LCN,2015,3.534128302916467,.2939010262489319,2.591838121414185,20.53447533594587
EAS,2015,3.882272694989374,1.200310826301575,2.228286504745483,16.07100517717165
SSF,2015,11.60858842773964,1.599300622940063,2.054818391799927,4.956237066672416
AFW,2015,9.956189030155487,.5594002604484558,1.709979057312012,4.809009981656336
NAC,2015,1.247029470433839,.0599203184247017,3.509725093841553,78.80511584475065
AFE,2015,12.74660147133319,1.039900302886963,2.302415370941162,5.057632857159579
SAS,2015,6.714968983162045,1.387212157249451,1.278905153274536,5.332763912689431
WLD,2015,5.224469754152351,5.224469661712646,3.394035339355469,18.18997845467846
ECS,2015,1.788121378456476,.2180965095758438,2.492792129516602,39.03436423087974
AFE,2016,12.97158983349222,1.073983311653137,2.316999912261963,5.001391199862884
EAS,2016,3.676253253482435,1.131369829177856,2.199528932571411,16.75260273027256
WLD,2016,5.125866520652078,5.125866413116455,3.410953044891357,18.6323008939581
AFW,2016,9.648810097136431,.5503640174865723,1.683791875839233,4.886216077174803
ECS,2016,1.758803178487766,.2129900604486465,2.486811637878418,39.5898355403341
MEA,2016,5.0243668764755,.4718175232410431,2.295782089233398,12.79403007981734
SSF,2016,11.61620344170533,1.624347329139709,2.055408477783203,4.954410416798697
NAC,2016,1.212700675066844,.0580698885023594,3.55426549911499,82.06430231611549
LCN,2016,3.578645524894624,.2969445288181305,2.639733076095581,20.65377143896137
SAS,2016,6.440773720487851,1.330327391624451,1.274851322174072,5.542165943412736
MEA,2017,5.01002127303108,.4729824960231781,2.311382293701172,12.91785055351821
EAS,2017,3.524537124679942,1.080064654350281,2.193138122558594,17.42295903439492
LCN,2017,3.559273557074651,.2946675717830658,2.638316869735718,20.75504181141773
AFE,2017,13.21456123124615,1.110751748085022,2.320134878158569,4.916075214400021
WLD,2017,5.03574598860476,5.035746097564697,3.408642530441284,18.95289972368876
AFW,2017,9.259528479022311,.5361132621765137,1.659816861152649,5.019140356288756
ECS,2017,1.697547506414032,.2040448039770126,2.426820993423462,40.02891852481559
NAC,2017,1.288122557715532,.0614423900842667,3.830775737762451,83.26981074520741
SAS,2017,6.177328150699383,1.275678992271423,1.269986748695374,5.756473774884196
SSF,2017,11.60142481637581,1.646865010261536,2.054327487945557,4.95811232101842
SAS,2018,5.938040376140017,1.225921869277954,1.265618562698364,5.967847355954135
ECS,2018,1.632054704102344,.1948391944169998,2.375972032546997,40.76285813019046
AFE,2018,13.3445062036955,1.140375375747681,2.314268112182617,4.855893742461268
AFW,2018,8.907077125129556,.5232540369033813,1.63617205619812,5.143417662551623
WLD,2018,4.926007511205658,4.926007747650146,3.413979291915894,19.40545602170045
NAC,2018,1.156425424759119,.054935485124588,3.584271669387817,86.78432898871863
LCN,2018,3.529723372366812,.291539192199707,2.640398979187012,20.94531646464841
EAS,2018,3.338694451469257,1.018232941627502,2.152099609375,18.04860812260092
SSF,2018,11.53676500941323,1.663629412651062,2.049022912979126,4.97302661951377
MEA,2018,5.026281869409292,.4769094586372375,2.332308769226074,12.99263456925145
LCN,2019,3.544261212733105,.2920608520507813,2.656527280807495,20.98681782753689
AFW,2019,8.697095587472674,.5180992484092712,1.620393872261047,5.216802294821783
EAS,2019,3.174590974791807,.9631029963493347,2.126497983932495,18.75578458725923
NAC,2019,1.051620898967117,.0497409999370575,3.456348896026611,92.02724099694905
ECS,2019,1.573613782497748,.1865722686052322,2.330557584762573,41.4686332860311
AFE,2019,13.51057290485913,1.174095869064331,2.304978847503662,4.776955429520747
SAS,2019,5.784479439089931,1.193894982337952,1.259751796722412,6.097878309244467
SSF,2019,11.55290731429356,1.692195057868958,2.044800043106079,4.955843376121793
MEA,2019,5.076883968040844,.4847683012485504,2.342930555343628,12.9217166114381
WLD,2019,4.862335573731555,4.862335681915283,3.45699667930603,19.90728655255309
EAS,2020,3.191155322031281,.9625938534736633,2.105398416519165,18.4732964142643
LCN,2020,3.575759937005779,.2938412129878998,2.543912172317505,19.92011298311808
WLD,2020,4.971194883536714,4.971194744110107,3.521348714828491,19.83381626352987
SSF,2020,12.00107356702304,1.786035180091858,2.027157306671143,4.729610400064386
AFW,2020,9.026054278677975,.5453148484230042,1.608937382698059,4.991134090753722
AFE,2020,14.03413700115047,1.240720391273499,2.280993700027466,4.550890801579258
ECS,2020,1.545511112385802,.1817948073148727,2.368761301040649,42.91481069017998
NAC,2020,.5853398829703462,.0275469087064266,1.977700591087341,94.60420945582722
MEA,2020,5.249152926165495,.5054677724838257,2.310002088546753,12.32199943890167
SAS,2020,5.882148867205133,1.213915228843689,1.256049513816833,5.979002917644745
EAS,2021,2.958877114554906,.8872469663619995,2.089626789093018,19.77424071062405
AFE,2021,13.91985526204027,1.253161907196045,2.267448425292969,4.56100676851176
NAC,2021,.5594221345130151,.026160329580307,1.897794365882874,94.98773916042371
MEA,2021,5.25076135723535,.5088298916816711,2.355945348739624,12.56321979118771
ECS,2021,1.42129373707827,.1659256964921951,2.325462341308594,45.81244827826912
SSF,2021,11.94807067195883,1.808626413345337,2.011966228485107,4.714991996462612
AFW,2021,9.054469218557815,.5554643869400024,1.597779393196106,4.940965909456051
WLD,2021,4.866589545679387,4.866589546203613,3.574297666549683,20.56477783004529
SAS,2021,5.68112791996428,1.172527074813843,1.251752495765686,6.169385819599487
